Var	Antioquia_SESGO.PROM	Apartadó_SESGO.PROM	Arauca_SESGO.PROM	Atlántico_SESGO.PROM	Barranquilla_SESGO.PROM	Bello_SESGO.PROM	Bogotá, D.C._SESGO.PROM	Bolívar_SESGO.PROM	B_R2.PROMacá_SESGO.PROM	Bucaramanga_SESGO.PROM	Buenaventura_SESGO.PROM	Buga_SESGO.PROM	Caldas_SESGO.PROM	Cali_SESGO.PROM	Caquetá_SESGO.PROM	Cartagena_SESGO.PROM	Cartago_SESGO.PROM	Casanare_SESGO.PROM	Cauca_SESGO.PROM	Cesar_SESGO.PROM	Chía_SESGO.PROM	Chocó_SESGO.PROM	Ciénaga_SESGO.PROM	Córdoba_SESGO.PROM	Cúcuta_SESGO.PROM	Cundinamarca_SESGO.PROM	Dosquebradas_SESGO.PROM	Duitama_SESGO.PROM	Envigado_SESGO.PROM	Facatativá_SESGO.PROM	Girardot_SESGO.PROM	Girón_SESGO.PROM	Guainía_SESGO.PROM	Guaviare_SESGO.PROM	Huila_SESGO.PROM	Ibagué_SESGO.PROM	Ipiales_SESGO.PROM	Itagüí_SESGO.PROM	Jamundí_SESGO.PROM	La Guajira_SESGO.PROM	Lorica_SESGO.PROM	Magangué_SESGO.PROM	Magdalena_SESGO.PROM	Maicao_SESGO.PROM	Malambo_SESGO.PROM	Manizales_SESGO.PROM	Medellín_SESGO.PROM	Meta_SESGO.PROM	Montería_SESGO.PROM	Mosquera_SESGO.PROM	Nariño_SESGO.PROM	Norte de Santander_SESGO.PROM	Palmira_SESGO.PROM	Pasto_SESGO.PROM	Pereira_SESGO.PROM	Pitalito_SESGO.PROM	Pop_R2.PROMán_SESGO.PROM	Putum_R2.PROMo_SESGO.PROM	Quibdó_SESGO.PROM	Quindío_SESGO.PROM	Riohacha_SESGO.PROM	Rionegro_SESGO.PROM	Risaralda_SESGO.PROM	San Andrés_SESGO.PROM	Santa Marta_SESGO.PROM	Santander_SESGO.PROM	Sincelejo_SESGO.PROM	Soacha_SESGO.PROM	Soledad_SESGO.PROM	Sucre_SESGO.PROM	Tolima_SESGO.PROM	Tuluá_SESGO.PROM	Tumaco_SESGO.PROM	Tunja_SESGO.PROM	Turbo_SESGO.PROM	Uribia_SESGO.PROM	Valle del Cauca_SESGO.PROM	Valledupar_SESGO.PROM	Vaupés_SESGO.PROM	Villavicencio_SESGO.PROM	Yopal_SESGO.PROM	NA_SESGO.PROM	Antioquia_R2.PROM	Apartadó_R2.PROM	Arauca_R2.PROM	Atlántico_R2.PROM	Barranquilla_R2.PROM	Bello_R2.PROM	Bogotá, D.C._R2.PROM	Bolívar_R2.PROM	B_R2.PROMacá_R2.PROM	Bucaramanga_R2.PROM	Buenaventura_R2.PROM	Buga_R2.PROM	Caldas_R2.PROM	Cali_R2.PROM	Caquetá_R2.PROM	Cartagena_R2.PROM	Cartago_R2.PROM	Casanare_R2.PROM	Cauca_R2.PROM	Cesar_R2.PROM	Chía_R2.PROM	Chocó_R2.PROM	Ciénaga_R2.PROM	Córdoba_R2.PROM	Cúcuta_R2.PROM	Cundinamarca_R2.PROM	Dosquebradas_R2.PROM	Duitama_R2.PROM	Envigado_R2.PROM	Facatativá_R2.PROM	Girardot_R2.PROM	Girón_R2.PROM	Guainía_R2.PROM	Guaviare_R2.PROM	Huila_R2.PROM	Ibagué_R2.PROM	Ipiales_R2.PROM	Itagüí_R2.PROM	Jamundí_R2.PROM	La Guajira_R2.PROM	Lorica_R2.PROM	Magangué_R2.PROM	Magdalena_R2.PROM	Maicao_R2.PROM	Malambo_R2.PROM	Manizales_R2.PROM	Medellín_R2.PROM	Meta_R2.PROM	Montería_R2.PROM	Mosquera_R2.PROM	Nariño_R2.PROM	Norte de Santander_R2.PROM	Palmira_R2.PROM	Pasto_R2.PROM	Pereira_R2.PROM	Pitalito_R2.PROM	Pop_R2.PROMán_R2.PROM	Putum_R2.PROMo_R2.PROM	Quibdó_R2.PROM	Quindío_R2.PROM	Riohacha_R2.PROM	Rionegro_R2.PROM	Risaralda_R2.PROM	San Andrés_R2.PROM	Santa Marta_R2.PROM	Santander_R2.PROM	Sincelejo_R2.PROM	Soacha_R2.PROM	Soledad_R2.PROM	Sucre_R2.PROM	Tolima_R2.PROM	Tuluá_R2.PROM	Tumaco_R2.PROM	Tunja_R2.PROM	Turbo_R2.PROM	Uribia_R2.PROM	Valle del Cauca_R2.PROM	Valledupar_R2.PROM	Vaupés_R2.PROM	Villavicencio_R2.PROM	Yopal_R2.PROM	NA_R2.PROM
heater	0.697446003501698	0.607447237423781	0.762759440746945	0.800449506658165	1.18573133508596	1.4913857494582	0.0618531774264103	0.25415839623743	2.89197964095811	0.309598085901025	1.70445476686424	0.335848159684346	2.95559390945169	0.346307120163871	2.5552760079812	0.185202190113567	0.627870336577374	0.96931243376446	2.0355803062244	0.286602936702941	176.257401060793	6.03195301029847	2.28226902887687	0.132958643690783	16.0532962677307	0.545076548151955	1.14566549272026	31.6047606030366	13.1020629783261	1.7564655358493	10.9736821108904	0.904663625871182	0.603869261656054	199.104806467407	0.188821365195721	3.14550035830137	1.01721570431809	0.468937527226454	127.79245690748	0.415148044154733	0.00140835208248148	1.21611244046121	0.778433267346491	4.94001182357901	0.354648237927162	2.29164237744981	0.133911643078427	0.132918512148235	0.449771861571745	3.71344366788756	1.20252376059384	0.674258717607545	1.48217583187309	2.98312396032563	2.03942733571439	13.5788880481051	152.957792741809	0.608050871253211	0.939934634822974	5.68746340677672	2.03536809110488	0.608489976814039	2.1512366316617	9.01743324384849	2.76709083385433	0.931550424462462	0.0693481877445451	1.28405421807302	1.00090998888001	0.141432963686448	4.62669325177722	89.1308258859171	0.329211371866	0.166400387018799	0.749677337824286	0.0210840220650355	0.0909338165185372	0.127771364730151	0.0186376388737867	0.0926705053283263	0.691125242423767	NA	0.940477292368627	0.952400604119637	0.953860425094046	0.93296488911081	0.951902511739941	0.95956316310567	0.948554024931224	0.947723901453844	0.947834494256927	0.948307816020835	0.960702388707768	0.952879060311334	0.94660489049764	0.950264749240381	0.934672142736511	0.946658718674217	0.953878982120518	0.945290156233853	0.932529568621454	0.946562004299099	0.964566035409293	0.945544526687637	0.934264512962292	0.935351171418049	0.957449979730753	0.946618523496373	0.964154960950487	0.957855644476147	0.948278689646766	0.964684967969113	0.960339855399747	0.9509645969347	0.94256621716468	0.97361717696823	0.946375532222945	0.955702888766385	0.959810698343449	0.954901706907724	0.953242932361994	0.951590082439444	0.935948093929753	0.941530467662505	0.945189054947879	0.974289059859137	0.957238723071783	0.955760399921266	0.946473979910778	0.947760225714916	0.948398769624401	0.955427800015141	0.960183659234796	0.945010357084634	0.95731036321598	0.965335022020412	0.957926734580144	0.942763172167447	0.947018136572669	0.949313961532551	0.947376512080654	0.955527302469875	0.906604459759853	0.963507239124885	0.939240977795576	0.960046981929119	0.947132897982185	0.943304385426792	0.949961373428489	0.95895265587082	0.947003512009782	0.931918069695321	0.945591369203639	0.963935359218111	0.944595611785837	0.967111587521306	0.947621074580748	0.942934880175858	0.945209638102532	0.950596867089394	0.946393334892061	0.951661711865707	0.9508869145029	NA
microWave	0.588738899625038	0.107419662687203	0.576022010864373	0.852559313417387	1.18978253789138	0.26582042183474	0.0717196664208855	0.291863234134289	1.43099581309119	1.35812955341285	6.08169917239432	1.56051608125279	2.34079782763664	0.211797672504709	2.58412349266677	0.26312036097745	0.375908739914303	0.741644079086951	2.39679699385156	0.179511617266022	539.90196934501	3.97330615001279	7.22735516416884	0.162372575295079	3.78318747021253	0.397961095503145	0.609700609192933	31.6047606030366	0.484824496350297	1.02713241740007	4.97951071913451	0.59623816861961	0.0085109962572343	86.5132363263483	0.48905271263359	1.00918524436984	0.230665616535374	0.433572112533818	61.4927870102237	0.183604097330948	71.4582797334001	2.25853178376479	0.745128309931853	7.89104709501441	0.144019688179279	2.28534562023944	0.118798472362008	0.0522813903958051	0.659392945685802	9.01667073893508	1.08481510097468	0.664401203456401	1.87081027300234	5.20131669265959	1.09739236819846	0.32074199724971	154.392784856464	0.0661737961553649	4.11983577346863	3.47127287144979	0.00780006013162196	0.416212125694294	0.66803273499073	13.8205079873326	0.62058848373997	0.344140392813504	1.83303010734654	0.30597875198402	0.803488366824034	0.175603245953167	4.03170640879651	52.5408829403375	0.866135819688505	0.0662325391760416	1.45230585162107	0.0209837145896042	0.0873006380754919	0.0267070928777777	1.33914815417885	0.0774486044858542	0.758908757007172	NA	0.939086862754564	0.952334877345135	0.954082307704868	0.933618013073691	0.952079197692601	0.959537333723014	0.947017414420941	0.947800134264628	0.948133368892237	0.94815589622976	0.960265461371686	0.955804294635396	0.945973127266038	0.94966298858324	0.934583118573705	0.947193777014002	0.953954476151597	0.945490583391395	0.931315718874976	0.946678453260141	0.971421287633497	0.945561381638348	0.935860853627755	0.936258794466758	0.953726211547312	0.946250645066974	0.96413722824834	0.957848347262785	0.948278027563172	0.964387768530207	0.959467551576557	0.951310810288718	0.944138368436005	0.974051441240157	0.946312917827331	0.955719793228151	0.958499044211113	0.954834767313344	0.94958358673717	0.951605304357105	0.937719527406356	0.941504679291026	0.94530281281499	0.974290304360403	0.95698233461754	0.955845823597336	0.945355555000899	0.947607073210184	0.948387239202087	0.955865978759536	0.959974339966452	0.943762963304168	0.957359790431445	0.964658542408346	0.958158180354825	0.942877833873978	0.947776623764283	0.950023079058575	0.948757331288156	0.954815502801677	0.898740407884278	0.964114433862621	0.939159248718691	0.960073031897498	0.947152664413702	0.94346652806801	0.949973307572056	0.959003913402929	0.948667111562154	0.933655018616628	0.946512458481696	0.964948462403204	0.944665849701835	0.964492102359336	0.947363211791444	0.942781080342791	0.945487230656167	0.951834087459865	0.945873035865013	0.951388698280343	0.950856779653605	NA
OverCr	0.95572051750748	5.10603910524485	1.5168848294047	0.760274656648769	0.915509462811927	1.12647416272148	0.0610840583630182	0.337314670667188	1.54061014291485	0.336731067460614	9.37918285018906	3.08491133091904	0.944970014452734	0.277073777933028	4.29871527282753	0.455640749048392	2.15068876692025	2.30007609802982	6.61609091349321	1.02908272474025	NA	3.86298261151154	19.4555723502822	0.182697990163072	NA	0.551513026536571	2.35671480582906	79.3947845642376	24.1074403960622	3.14910813876982	14.4022670776659	1.597166052715	NA	479.94434936003	0.248150458377382	3.43593720974878	0.0786881018636847	0.582290201586038	NA	0.661686758046843	1.99094931993627	2.86041905844787	0.700586162253171	NA	2.13385746786823	1.97784676745004	0.200498140375605	0.163359678666929	1.2342943027192	0.1967278273354	0.810049583889822	1.05432892550536	2.56917471444975	1.38217675314263	0.504771405041869	1.58806678937955	132.486234457604	0.889909910567162	0.325390494218674	7.0112875186693	6.11855155701736	0.809082924338756	0.965618857547526	NA	0.520297831773549	1.31016158082986	0.15503582079621	1.21446567809915	1.48861396656361	0.63464681593863	3.42928695892249	NA	6.30569704427141	0.244379889228014	0.490717114474247	1.8084128078141	0.148178232811566	0.114773779548189	48.6484457178469	0.584807106548967	1.22793798994627	NA	0.940862873402648	0.952921968430518	0.954933421910417	0.93401914683149	0.952614554781067	0.960350095074435	0.946474576483608	0.948112545937676	0.947528909720366	0.94653191771721	0.960450773278923	0.963914827692647	0.947111367035369	0.949977272152525	0.935299700863649	0.949025906253319	0.95760431830893	0.947587691584047	0.934147516148736	0.948046663122649	NA	0.947653804394966	0.93926347395425	0.936949739982702	NA	0.946281163215604	0.964597325722459	0.96057227525885	0.957853059101713	0.965692982693024	0.964896054107098	0.951346654215311	NA	0.980349653115559	0.947846967137485	0.956607998202579	0.960613693776652	0.955078559683976	NA	0.95341034662514	0.94249075803402	0.943390836070398	0.946919032933496	NA	0.958513906884469	0.957500958716915	0.945586111567004	0.949022137501698	0.951407136070999	0.956567719219078	0.960314430647833	0.942656362927106	0.958568972183405	0.965504407072828	0.95856047176096	0.944997718625363	0.94899480163392	0.951313765568951	0.949517383486054	0.955627989297909	0.913534175424552	0.965729693728008	0.944302164948894	NA	0.950562225372802	0.945319704980796	0.951188881860211	0.95942220977404	0.948503968891555	0.936532227799942	0.946779386767278	NA	0.94538159603123	0.967085267584913	0.949315900515341	0.946644018721572	0.945462666382895	0.953990866575627	0.949640827445742	0.952147182944827	0.951894458415598	NA
sanitari	0.641695007036924	43.4219186834216	1.86947519898404	2.03669633223835	0.804235100999702	4.81048206717595	0.0657557454779842	0.51214266773495	2.70087555649264	NA	4.32408728412164	NA	2.33369141441904	0.505155621939409	0.963242329447322	0.421900334739204	0.326021830231994	3.28213526485674	2.08605646493102	0.332246695032994	NA	4.8321050535145	109.229420259418	0.167405260728051	3.09729179913496	0.395605847071066	NA	61.0368492763682	NA	0.855288014507756	16.8615921090248	3.58515203840855	NA	305.73538536158	0.873507955719677	2.68231608350351	0.518293401224328	1.57329615424676	NA	1.17964492570755	0.341035372962305	9.41491156848411	0.593236503182804	NA	12.1265155904282	NA	0.250618403854022	0.234661481579025	1.87164484799476	5.62416256871424	2.22534973030996	0.969898034341364	NA	2.08631120126585	2.97391419457686	23.6431194493722	154.887309232093	0.730437735722819	3.6172966026692	7.06532393987303	NA	NA	0.52434201792758	NA	0.767996059872965	0.927158252819754	0.354471668138188	1.35519205066342	0.477270804731902	0.669548845201637	3.93266491794743	NA	0.430925396904288	0.702335147535466	0.504667359514077	38.7122122500762	0.158523123864601	1.23898059763096	39.2055829379926	0.0291385530675686	0.350886513218847	NA	0.941287599742806	0.952774550306224	0.954230654975896	0.936611942523992	0.952650387900312	0.960449628760836	0.945843532035781	0.947668233110534	0.948119026552469	NA	0.962561383259037	NA	0.947061229457378	0.950214135423206	0.936645268945333	0.950000129402792	0.955507805608654	0.94634337548241	0.931554525425526	0.947470011424444	NA	0.945761726659982	0.947983534353722	0.940020737334895	0.962108537140546	0.950013099356911	NA	0.95996447971873	NA	0.964757807718995	0.960890983725793	0.956051344301553	NA	0.979592624572778	0.947504155814493	0.957514581895268	0.961890029720566	0.955457969305708	NA	0.953345778853118	0.945831886322007	0.942284663959573	0.946246042766017	NA	0.959490549736822	NA	0.944712517932003	0.947970527432348	0.950373276865179	0.955932628521334	0.961802511322745	0.943707665413545	NA	0.965206743489361	0.958878719368915	0.94622348715121	0.947412220385254	0.949974134786109	0.950146691110177	0.956328352849897	NA	NA	0.938867479438895	NA	0.950802962039368	0.945803460754854	0.951795931520901	0.95993265015355	0.961818228950451	0.940306711690714	0.94729686676159	NA	0.945549701002998	0.964751229603379	0.948861350820093	0.948523966488957	0.945781763728509	0.953497681063167	0.945850337729743	0.952009900013469	0.952906602538362	NA
SECTOR	NA	NA	NA	NA	NA	NA	0.0596563136655566	0.238673418447782	1.25410013643186	0.357957878374477	1.54874869055912	NA	NA	0.19945474377189	NA	0.183074184293419	NA	NA	2.34891938205784	0.163925767485085	NA	NA	NA	NA	1.60114702525801	0.407766224300989	NA	NA	NA	NA	NA	0.214021292499024	NA	NA	NA	NA	0.245271154113623	NA	NA	NA	NA	NA	0.684056874065584	NA	NA	NA	0.133556220962527	0.053700712364507	NA	NA	NA	0.666196380219167	2.58573814494605	5.18542874288993	NA	NA	NA	NA	NA	6.19698663628784	NA	NA	NA	NA	0.478448638816907	NA	NA	NA	0.988718677143255	NA	4.06092541764	NA	NA	0.143470577422747	NA	NA	0.0863894351939792	0.0236300914026797	NA	0.100594068627084	1.16963333855994	NA	NA	NA	NA	NA	NA	NA	0.954453721404292	0.947868969628339	0.959883448084263	0.948403740409539	0.960348073793479	NA	NA	0.952453621744823	NA	0.949178416445946	NA	NA	0.934281083536751	0.946820784100623	NA	NA	NA	NA	0.958643136507088	0.951624378323091	NA	NA	NA	NA	NA	0.951753030542503	NA	NA	NA	NA	0.960826939112761	NA	NA	NA	NA	NA	0.945161967179857	NA	NA	NA	0.946925611668697	0.951700300754463	NA	NA	NA	0.945124651836237	0.957409219362901	0.964565802679207	NA	NA	NA	NA	NA	0.957743520187391	NA	NA	NA	NA	0.959517895194677	NA	NA	NA	0.950558524829811	NA	0.946766074053915	NA	NA	0.96936149571624	NA	NA	0.945793782356739	0.960597690383749	NA	0.951642682211539	0.954766944614504	NA
SEXO	0.627804778614446	NA	0.841060505642009	0.627493553855702	1.23788746379854	NA	0.060791544933453	0.349090601747626	1.29898279275234	0.597232845659794	NA	9.69268739149395	1.09330503972485	0.422695448903284	2.71845463558041	0.167903706927281	NA	1.10931095834529	2.07698701839522	0.210085438180384	NA	4.05205296546701	NA	0.111420924308481	NA	0.383526025801099	1.15194478814885	42.6952047116083	NA	1.04044707199069	5.23181811274935	NA	NA	NA	0.283379738889314	NA	NA	0.649459245007217	NA	NA	NA	2.08965584070181	0.7028320653059	NA	NA	NA	0.160288459102209	0.0497642562641774	0.520505493330704	NA	NA	0.858063891529375	NA	5.91904638754636	0.779039170339689	NA	152.390753248444	1.1360895969433	NA	3.58179782094133	NA	NA	0.889537839997822	NA	0.451048722871409	NA	0.135045460731815	NA	NA	0.152368198605916	3.97946188469617	NA	NA	1.16049015584316	0.683951645803216	1.50128100954384	0.128490288360078	0.0459796741087353	NA	0.216194299143391	1.64624703929117	NA	0.938716098387578	NA	0.953961339508939	0.933130972379657	0.951791251479406	NA	0.944739678617932	0.947572377586239	0.9457306497501	0.946156629727992	NA	0.952719004246463	0.945705507070785	0.949678430997167	0.934790230640139	0.946976768301135	NA	0.945562597355851	0.931916897914436	0.947701258950433	NA	0.94663407036919	NA	0.935767878367604	NA	0.946140605831182	0.966375993436706	0.958336468896586	NA	0.964673827473293	0.958905824121585	NA	NA	NA	0.946518514381879	NA	NA	0.95622377257201	NA	NA	NA	0.941493689393482	0.944977157182176	NA	NA	NA	0.94420311158594	0.947256724807592	0.948549514284259	NA	NA	0.94211065803269	NA	0.965652941911545	0.957937248754371	NA	0.947531587755907	0.952373611212153	NA	0.954254326487185	NA	NA	0.938970269541392	NA	0.946220920703163	NA	0.950289849324053	NA	NA	0.931706112468197	0.945893111257737	NA	NA	0.965591333246038	0.947829769621245	0.945244766384764	0.945211554871236	0.950922274036941	NA	0.951851794593209	0.950741772139328	NA
soundEqui	0.649876811217256	2.8602443330189	0.653912839026489	1.0284334501312	0.956757176363993	0.303192333970314	0.0614363856902568	0.329282233320976	1.26698844964283	0.589762018791627	1.07737166353199	29.4007564851809	2.03706914674748	0.284140557354619	3.1836233289081	0.539488009667007	0.651803323382699	0.927519975443728	2.42072906315258	0.144893601209855	NA	5.61423844542328	4.46536976473945	0.141465210288798	1.28307083612313	0.39249249862902	0.694043180875789	32.8124035117709	1.39333840050617	0.743884737094201	0.463983006321946	0.534387181996705	4.82854792855329	234.229613182837	0.617388823306091	1.16766724764823	0.117019058446907	0.67742271385958	9.38802564153621	0.20898641149375	0.213561555989449	1.78785230135765	0.612815710542929	53.2994474123696	8.5512613182137	1.51120537740111	0.139784878823593	0.0582942645071993	0.528015425480314	0.218195684679195	0.994104805375224	0.69154193847	2.24894264936053	4.83968315860032	0.755661370651111	0.242925863619406	153.71651958163	0.470515725380209	2.06470540277526	6.23534816014458	1.96845734293452	0.632767509202421	0.527066924467535	0.0690454156347397	0.479585265398409	0.918440992527656	0.881310936657273	1.75678894597622	0.968121377365126	0.150234415988062	5.30905324067565	206.670324766416	0.243692743472212	0.344635682219674	0.736352902294294	0.702649111248244	0.0791477114644071	0.0435622423243934	5.48611388734303	0.12487709742201	0.239848277738926	NA	0.939503469124875	0.951628144911853	0.953978332340562	0.935775567774171	0.951984347748507	0.959568501552152	0.944906916308852	0.947702940626823	0.945508894050768	0.946035570918747	0.960699072412661	0.952789794024762	0.945822510274241	0.949646451835452	0.934602630029028	0.946653745416582	0.953949854124572	0.94674476087639	0.931105750681254	0.946889432217579	NA	0.946104223586715	0.937635577698206	0.935735772146029	0.952570782615339	0.945792255361444	0.964143475513657	0.957961981013577	0.949102740876908	0.964403054876145	0.958765860593699	0.951220409373844	0.943453288469558	0.975882914402629	0.946282853137958	0.955707130530523	0.960268652192909	0.954766478480904	0.94943367447929	0.951761565972321	0.935817336423452	0.941449723257603	0.945100475587507	0.974671124595703	0.958034431741265	0.955679002581122	0.94381188912692	0.94735952934843	0.948449212499631	0.954760614227889	0.959981586663476	0.941719449870223	0.957675862520016	0.965141519708137	0.957911140219632	0.942902664403566	0.94737135079293	0.951428084147381	0.947350673963789	0.953952986620772	0.898692094367266	0.963701670481346	0.938661521444715	0.959227005650819	0.947628745748471	0.943453158284517	0.949806270672798	0.959121619156285	0.950547696108652	0.934318371936065	0.946050368970661	0.976298535375337	0.945408411992978	0.964737661685048	0.947672567758497	0.94298706041385	0.945289915846552	0.95064916997469	0.94557784974867	0.951426403658129	0.950739902553784	NA
walls	0.557186617558771	2.46715202863773	1.20937077012032	0.949422615644736	0.861756432265899	0.174873941189407	0.0906113922901274	0.560742198168906	1.28210763141858	0.666463870222605	2.4072103255563	0.224298669384968	6.97338359257019	0.305348864896554	2.81841883268516	0.0725913474486721	NA	1.26241146497737	2.26636593135393	0.412358636497205	NA	4.87655706246813	NA	0.185733580871189	1.76643911261774	0.461415927009263	NA	31.6047606030366	NA	NA	NA	NA	NA	NA	0.653190884708126	2.99789964663514	NA	NA	NA	0.894944811957693	56.039076498431	3.25924640748613	0.478981333446395	NA	NA	2.13231611409523	0.134186170824841	0.0743785923885969	0.514284170126255	0.735581256821957	5.49333711183766	1.18148964873505	NA	4.23907270906364	2.5659417669448	NA	152.709103401905	0.615040275469427	NA	9.24747595462633	NA	2.6612037998186	2.18751971880075	0.00555907501120031	1.12082154361063	0.728740481425747	2.29691778302427	1.39388715879425	0.85624338593322	0.622506261239877	3.08376089652677	NA	32.3073933633933	0.274814115365262	0.858025740292474	NA	0.0922192001782118	0.555168545735549	5.87138312139224	0.11393206550876	3.07536066500446	NA	0.942959823348646	0.952625997205048	0.954223723961487	0.937192661058038	0.951925498315833	0.960363303520952	0.945243670110242	0.948742982781602	0.946409106718912	0.946050247205101	0.961960983170505	0.955210740736813	0.947671817322012	0.950276877613625	0.935298689093112	0.947761739645117	NA	0.945809824133498	0.934469463203809	0.947871752278966	NA	0.94624244943759	NA	0.939514777162048	0.953557766821757	0.946542884072493	NA	0.958382792534586	NA	NA	NA	NA	NA	NA	0.946297510674267	0.956165407999028	NA	NA	NA	0.951812491569351	0.946786998550761	0.942247237534893	0.94614519012859	NA	NA	0.95580467473162	0.944727777429823	0.949172779760749	0.949103713137992	0.956112410158963	0.961869112135132	0.942384453229172	NA	0.96483832377336	0.958883417256692	NA	0.948415067046385	0.950658807836325	NA	0.95477183316555	NA	0.965396681519181	0.939477425013184	0.961501125143956	0.946699774156175	0.945105855108664	0.951892205621359	0.959072238504476	0.947406349537003	0.935869887981136	0.946557904705052	NA	0.951667779699856	0.964267190998583	0.948934944461254	NA	0.945633454908189	0.95206263191285	0.946328647991193	0.952527870524619	0.951715720736016	NA
washMach	0.768932705028645	3.23222255489768	1.12765133065816	0.638881900177957	1.02789142918898	0.182253389176084	0.0614057785305224	0.263579120834335	2.11912322361158	0.2250137816263	0.773477811124381	7.49765511864734	2.08453569700743	0.21695501097086	2.50128828010911	0.303905109846227	1.1239236249618	0.809836616122929	2.37192127741076	0.163894186290716	NA	4.94827348149013	1.27066557533712	0.11965322882334	3.0484324912606	0.405043197623826	0.8309129910838	64.0923125296749	7.34436779538289	0.335052378320369	0.667689700053865	0.261874066055304	41.6798890163571	152.700623809414	0.455397119839752	0.982855571174817	0.137517034535782	0.605996893472637	47.1402852652518	0.389841161173629	1.2050504222555	3.4794965599018	0.708892032604763	40.8518972774115	1.11749142316653	1.27019904677754	0.130377779202995	0.0589306530559933	0.457705773707879	3.69344198545294	1.04726792483609	0.584581986721138	3.1459272920289	4.28126683628736	0.735322685473163	7.4595022545178	170.420442808137	0.136618769387267	2.3419783070107	7.06982866684378	0.460886328995366	1.68289998608484	0.501622303685068	0.0714326659033985	0.472084356531285	0.423361619340344	0.725807396479112	1.60859168205669	0.484588094512757	0.167492924632432	4.59797728753299	13.8397626235611	0.0595859275547708	0.341442231741093	0.781098844990861	6.59493278250602	0.111325124246094	0.0869749798616143	0.52128097529356	0.159635686777694	1.80354009571028	NA	0.940373720252907	0.951587946716282	0.953864416086105	0.933679887749372	0.95216147753373	0.959678477191375	0.946648435310522	0.94859573999122	0.949650798334509	0.947871098362022	0.961522795161342	0.952540002308073	0.948811795459892	0.949755114718349	0.934652128544376	0.94874443290569	0.955133034552913	0.945855638536379	0.931798899200198	0.947899384685716	NA	0.945381684348208	0.934379383054741	0.937428202603791	0.95536111587519	0.947403462493353	0.964167329444022	0.957821908632851	0.947949393943239	0.964463123091338	0.959123745271254	0.952683941624665	0.94256621716468	0.974161287769488	0.946466169945815	0.955908476033954	0.959791601220222	0.955939580117628	0.94964665441424	0.952882360737309	0.940163737332021	0.942357519264484	0.945603316087694	0.977983694215321	0.956907931724542	0.956980973637631	0.945269282294175	0.948693565483473	0.949263890973969	0.955935458943866	0.960396173616255	0.942481817302417	0.958111246435445	0.964754665360528	0.958500839182223	0.944228919179527	0.94947263870233	0.950659350333818	0.947837020419499	0.956245253680649	0.899036287901209	0.964551620137066	0.941039894658579	0.959186001737539	0.947112318178557	0.945069020915252	0.950603252515694	0.959225858071733	0.946837756591546	0.935850787871107	0.945902572447351	0.964837812565589	0.946565508509733	0.966232832842445	0.948730114833464	0.94451137746128	0.945588461380659	0.952592440950113	0.944315905483321	0.952425620034551	0.953082938109517	NA
ZONA	0.656224165537819	NA	0.786427668777198	0.666047932402192	NA	NA	0.0596563136655565	0.238673418447784	1.25410013643187	NA	NA	NA	2.10596051993108	0.19945474377189	2.52039282814433	0.183074184293423	NA	0.966706186927323	2.34891938205784	0.163925767485084	NA	4.22754564287653	12.198963937441	0.119070247627957	1.60114702525803	0.407766224300988	NA	31.6047606030366	NA	NA	NA	0.214021292499028	NA	158.119889462329	0.248965793833196	NA	NA	NA	NA	0.208230393783128	NA	1.7542691693626	0.684056874065585	NA	NA	NA	0.133556220962526	0.0537007123645067	0.506718571739053	NA	1.04076878218808	0.66619638021917	2.58573814494603	5.18542874288998	NA	0.222148738763211	NA	0.401720851526489	NA	6.19698663628784	NA	0.554958112298228	0.624787928935231	NA	0.478448638816902	0.462119440522356	NA	NA	NA	0.142667872646844	4.06092541763998	NA	0.0615088386074381	NA	0.794222407251255	NA	0.0863894351939797	0.0236300914026793	NA	NA	1.16963333855994	NA	0.938701913288208	NA	0.954109290664241	0.937482268682628	NA	NA	0.944561612038603	0.947536334595679	0.948765945866531	NA	NA	NA	0.950512209901592	0.949555781784304	0.935473922419992	0.950134424922001	NA	0.945259361469872	0.931130669490631	0.946810634031396	NA	0.945518192911521	0.951191608986681	0.943265864494397	0.962928461877527	0.945912585408925	NA	0.961915571374195	NA	NA	NA	0.950787208522004	NA	0.974789311111547	0.946270886774455	NA	NA	NA	NA	0.951801815519956	NA	0.941711287596877	0.945005458296361	NA	NA	NA	0.944324041918132	0.947455822735534	0.949241804031218	NA	0.960326459678631	0.942524134643811	0.958557656394797	0.96480823992573	NA	0.951015419935393	NA	0.949136524899776	NA	0.954156902253057	NA	0.964801509597669	0.943969814695214	NA	0.948234329920555	0.945557869068909	NA	NA	NA	0.940723582971749	0.945554798444652	NA	0.945150246570598	NA	0.947456105747729	NA	0.945729710584001	0.957856366154951	NA	NA	0.954766944614504	NA
