ID_INST	EduDad	EduMom	floors	walls	sanitary	OverCr	dvd	cellPhone	fridge	washMach	heater	microWave	soundEqui	car	books	SEXO	ZONA	SECTOR	INSE
176001006119	0.145833333333333	0.0625	0	0	0.0208333333333333	0	0	0	0	0	0	0	0	0	0.0208333333333333	0	0	0	0
176001008791	0.245283018867925	0.207547169811321	0.0188679245283019	0	0.0188679245283019	0	0	0	0	0	0	0	0	0	0.0943396226415094	0	0	0	0
176001013310	0.18978102189781	0.131386861313869	0.0218978102189781	0.0145985401459854	0.0145985401459854	0.0145985401459854	0	0	0	0	0	0	0	0	0.0948905109489051	0	0	0	0
176001016491	0.156976744186047	0.0988372093023256	0.00581395348837209	0	0.0232558139534884	0.00581395348837209	0	0	0	0	0	0	0	0	0.0523255813953488	0	0	0	0
176001017374	0.219047619047619	0.247619047619048	0.0476190476190476	0.0571428571428571	0.0380952380952381	0.0857142857142857	0	0	0	0	0	0	0	0	0.0952380952380952	0	0	0	0
176001025946	0.236842105263158	0.184210526315789	0.0263157894736842	0.0263157894736842	0.0131578947368421	0.0131578947368421	0	0	0	0	0	0	0	0	0.0921052631578947	0	0	0	0
176001028970	0.13265306122449	0.0714285714285714	0.0102040816326531	0.0102040816326531	0	0.0102040816326531	0	0	0	0	0	0	0	0	0.0714285714285714	0	0	0	0
176001030168	0.202898550724638	0.0869565217391304	0	0	0	0.0144927536231884	0	0	0	0	0	0	0	0	0.0434782608695652	0	0	0	0
176001030788	0.0555555555555556	0.0185185185185185	0.0185185185185185	0	0	0	0	0	0	0	0	0	0	0	0.0925925925925926	0	0	0	0
176109000311	0.149425287356322	0.137931034482759	0.0459770114942529	0.0344827586206897	0.0229885057471264	0.0344827586206897	0	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0
176109001385	0.109375	0.09375	0.0078125	0	0.0234375	0.015625	0	0	0	0	0	0	0	0	0.03125	0	0	0	0
176111001104	0.134615384615385	0.115384615384615	0.0384615384615385	0.0192307692307692	0.0192307692307692	0.0769230769230769	0	0	0	0	0	0	0	0	0.0961538461538462	0.0192307692307692	0	0	0
176147000716	0.314285714285714	0.257142857142857	0.0571428571428571	0.0571428571428571	0.0857142857142857	0.128571428571429	0	0	0	0	0	0	0	0	0.157142857142857	0	0	0	0
176147001933	0.0945945945945946	0.027027027027027	0	0	0.0135135135135135	0	0	0	0	0	0	0	0	0	0.0540540540540541	0	0	0	0
176233000656	0.111111111111111	0.0666666666666667	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0.0777777777777778	0	0	0	0
176248000008	0.128654970760234	0.0994152046783626	0.0526315789473684	0.0233918128654971	0.0409356725146199	0.0350877192982456	0	0	0	0	0	0	0	0	0.0760233918128655	0.00584795321637427	0	0	0
176248000024	0.208955223880597	0.104477611940299	0.0149253731343284	0.0149253731343284	0.0149253731343284	0.0149253731343284	0	0	0	0	0	0	0	0	0.0447761194029851	0	0	0	0
176275000010	0.0727272727272727	0.0636363636363636	0.0454545454545455	0.00909090909090909	0.0545454545454545	0.0363636363636364	0	0	0	0	0	0	0	0	0.0636363636363636	0	0	0	0
176318000264	0.177083333333333	0.104166666666667	0.0208333333333333	0.03125	0.03125	0.0208333333333333	0	0	0	0	0	0	0	0	0.0520833333333333	0	0	0	0
176400000019	0.231884057971014	0.144927536231884	0	0.0144927536231884	0	0	0	0	0	0	0	0	0	0	0.0144927536231884	0	0	0	0
176400000027	0.125	0.15625	0.03125	0.03125	0.03125	0.03125	0	0	0	0	0	0	0	0	0.09375	0	0	0	0
176520000489	0.110091743119266	0.055045871559633	0	0	0	0.00917431192660551	0	0	0	0	0	0	0	0	0.018348623853211	0	0	0	0
176606000163	0.19672131147541	0.163934426229508	0.0327868852459016	0.0327868852459016	0.0491803278688525	0.0491803278688525	0	0	0	0	0	0	0	0	0.0655737704918033	0	0	0	0
176622000068	0.15625	0.03125	0	0	0.015625	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0
176823000066	0.075	0.025	0.025	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176890000305	0.134020618556701	0.11340206185567	0.0103092783505155	0.0103092783505155	0.0206185567010309	0.0103092783505155	0	0	0	0	0	0	0	0	0.0412371134020619	0.0103092783505155	0	0	0
181001000599	0.140495867768595	0.0661157024793388	0	0.0165289256198347	0.0165289256198347	0.0165289256198347	0	0	0	0	0	0	0	0	0.0247933884297521	0.00826446280991736	0	0	0
181001001676	0.0909090909090909	0.0505050505050505	0	0	0	0.0303030303030303	0	0	0	0	0	0	0	0	0.0101010101010101	0	0	0	0
181001003202	0.182795698924731	0.0752688172043011	0.010752688172043	0	0.021505376344086	0.021505376344086	0	0	0	0	0	0	0	0	0.043010752688172	0	0	0	0
181220000014	0.032258064516129	0.032258064516129	0	0	0.032258064516129	0	0	0	0	0	0	0	0	0	0.032258064516129	0	0	0	0
181794000748	0.0892857142857143	0.0535714285714286	0.0357142857142857	0.0178571428571429	0.0178571428571429	0.0178571428571429	0	0	0	0	0	0	0	0	0.0535714285714286	0	0	0	0
183247000213	0.15625	0.015625	0.015625	0.015625	0.015625	0	0	0	0	0	0	0	0	0	0.078125	0	0	0	0
183592000072	0.0947368421052632	0.105263157894737	0.0526315789473684	0.0526315789473684	0.0210526315789474	0.0315789473684211	0	0	0	0	0	0	0	0	0.0421052631578947	0.0105263157894737	0	0	0
185001001183	0.151515151515152	0.0848484848484849	0.0242424242424242	0.0121212121212121	0.0242424242424242	0.0424242424242424	0	0	0	0	0	0	0	0	0.0909090909090909	0.0181818181818182	0	0	0
185001003208	0.103448275862069	0.103448275862069	0.0344827586206897	0.0114942528735632	0.0229885057471264	0	0	0	0	0	0	0	0	0	0.0689655172413793	0	0	0	0
185001003881	0.25	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0
185010000505	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0
185139000099	0.24390243902439	0.121951219512195	0.0487804878048781	0	0.024390243902439	0.0731707317073171	0	0	0	0	0	0	0	0	0.0975609756097561	0.024390243902439	0	0	0
185139000391	0.156521739130435	0.11304347826087	0.0173913043478261	0.00869565217391304	0.0173913043478261	0.0173913043478261	0	0	0	0	0	0	0	0	0.0695652173913043	0.00869565217391304	0	0	0
