Modelos de un paramétro					Modelos de un paramétro							
Model	PROM_MODEL	PROM_R2	NUM_NA		Model	PROM_MODEL	PROM_R2	NUM_NA	Model	PROM_MODEL	PROM_R2	NUM_NA
cellPhone+books	18,517	0,947	4		heater+microWave+books	20,342	0,947	4	car+books+OverCr	16,208	0,948	8
heater+books	28,305	0,947	4		heater+car+books	20,716	0,947	4	soundEqui+books+OverCr	16,449	0,948	8
microWave+books	34,794	0,946	4		microWave+car+books	26,160	0,947	4				
car+fridge	43,639	0,946	4		cellPhone+heater+books	28,129	0,948	4				
dvd+books	12,332	0,947	5		car+washMach+fridge	31,399	0,948	4				
washMach+books	12,757	0,948	5		microWave+car+fridge	39,626	0,947	4				
soundEqui+books	13,968	0,947	5		cellPhone+car+fridge	39,659	0,947	4				
fridge+books	46,016	0,948	5		cellPhone+microWave+books	42,184	0,947	4				
dvd+OverCr	11,618	0,948	7		car+dvd+fridge	42,287	0,947	4				
fridge+OverCr	11,655	0,948	7		car+soundEqui+fridge	44,024	0,947	4				
microWave+OverCr	11,790	0,947	7		heater+car+fridge	44,484	0,947	4				
heater+OverCr	12,977	0,947	7		dvd+washMach+books	11,921	0,948	5				
soundEqui+OverCr	13,114	0,947	7		microWave+washMach+books	12,342	0,948	5				
cellPhone+OverCr	14,041	0,947	7		car+washMach+books	12,576	0,948	5				
washMach+OverCr	14,191	0,948	7		microWave+dvd+books	12,971	0,948	5				
car+OverCr	14,910	0,947	7		car+dvd+books	13,063	0,948	5				
books+OverCr	13,808	0,948	8									
