ID_INST	ENTIDAD	M.CONTROL	PROM.MAT	Fay.GREG	Fay.HT	Fay.Comp
105001000141	Medellín	ESTIMACIÓN	299	301.099333675372	300.213096434351	300.862657902871
105001000353	Medellín	ESTIMACIÓN	294	297.281320417993	297.188274977264	297.372474430336
105001001279	Medellín	ESTIMACIÓN	283	288.048388828758	287.278091802813	287.920915604515
105001001279	Medellín	ESTIMACIÓN	283	288.048388828758	287.278091802813	287.920915604515
105001001317	Medellín	ESTIMACIÓN	367	360.82099403022	359.98386357524	360.520423371755
105001002526	Medellín	ESTIMACIÓN	281	280.534892273306	280.717669998273	280.642704995137
105001002526	Medellín	ESTIMACIÓN	281	280.534892273306	280.717669998273	280.642704995137
105001002798	Medellín	ESTIMACIÓN	325	341.800300805915	340.561573220939	341.692298964349
105001003221	Medellín	ESTIMACIÓN	293	294.561537964098	293.149133196512	294.225832139468
105001005410	Medellín	ESTIMACIÓN	258	271.520659917178	270.557504179758	271.470890156269
105001007188	Medellín	ESTIMACIÓN	298	301.894151195321	300.72186140279	301.567755151879
105001008389	Medellín	ESTIMACIÓN	277	278.398372681021	278.581609423865	278.549435579386
105001012696	Medellín	ESTIMACIÓN	276	278.526676718711	278.044506660128	278.47797608225
105001014052	Medellín	ESTIMACIÓN	236	241.29034817928	241.158118423197	241.381566071941
105001014397	Medellín	ESTIMACIÓN	291	301.766146219087	301.10513734624	301.714538013223
105001014397	Medellín	ESTIMACIÓN	291	301.766146219087	301.10513734624	301.714538013223
105001017132	Medellín	ESTIMACIÓN	276	280.094090844762	279.814229694655	280.146797833496
105001019925	Medellín	ESTIMACIÓN	263	267.443078350852	267.741835362535	267.678399374462
105001019925	Medellín	ESTIMACIÓN	263	267.443078350852	267.741835362535	267.678399374462
105001021547	Medellín	ESTIMACIÓN	290	296.28089312155	296.283839577418	296.411180476201
105021000139	Antioquia	ESTIMACIÓN	326	304.142877293762	302.15737416733	303.390925293344
105021000139	Antioquia	ESTIMACIÓN	326	304.142877293762	302.15737416733	303.390925293344
105040000212	Antioquia	ESTIMACIÓN	268	269.157201844446	269.057314639331	269.189242625242
105045001667	Apartadó	ESTIMACIÓN	238	244.922707040239	237.59835778979	242.92439910755
105045001667	Apartadó	ESTIMACIÓN	238	244.922707040239	237.59835778979	242.92439910755
105088000389	Bello	ESTIMACIÓN	336	335.648531899894	335.405356191263	335.662675718501
105088001555	Bello	ESTIMACIÓN	298	299.202484350256	296.066334891877	298.175689338563
105088001555	Bello	ESTIMACIÓN	298	299.202484350256	296.066334891877	298.175689338563
105088002993	Bello	ESTIMACIÓN	316	312.811700151313	308.928936394955	311.466758441549
105088002993	Bello	ESTIMACIÓN	316	312.811700151313	308.928936394955	311.466758441549
105172001463	Antioquia	ESTIMACIÓN	270	272.74038744377	272.372254289174	272.6425710532
105172001463	Antioquia	ESTIMACIÓN	270	272.74038744377	272.372254289174	272.6425710532
105266001203	Envigado	ESTIMACIÓN	249	282.92827040212	264.415148916602	280.371292246245
105360000083	Itagüí	ESTIMACIÓN	321	324.755685563343	324.841008313355	324.865535847618
105360000083	Itagüí	ESTIMACIÓN	321	324.755685563343	324.841008313355	324.865535847618
105360000415	Itagüí	ESTIMACIÓN	264	272.235287368112	265.581520439399	270.212006447209
105360000431	Itagüí	ESTIMACIÓN	292	288.995916428626	287.627783968539	288.515086491296
105360001063	Itagüí	ESTIMACIÓN	295	309.941268805361	296.556032547035	308.288781628424
