PERIODO;DANE_ESTABLECIMIENTO;DANE_SEDE;PROM MATEMÁTICA;PROM CIENCIAS SOCIALES;PROM FILOSOFÍA;PROM BIOLOGÍA;PROM QUÍMICA;PROM FÍSICA;PROM NGLÉS;ESTUDIANTES
20132;152356000182;152356000182;49,36594203;48,00724638;43,42753623;48,91666667;49,84782609;49,63405797;46,28623188;276
20131;311848002351;311848002351;80,84745763;58,61016949;59,98305085;61,76271186;69,33898305;61,96610169;89,6440678;59
20131;325386000308;325386000308;70,33333333;54,33333333;55;53,33333333;59,33333333;58,33333333;58,66666667;3
20131;376001029878;376001029878;45,42857143;44,28571429;42,28571429;44,28571429;47;46,42857143;40,42857143;7
20131;105360000253;105360000253;60;46,5;50;50;48;35,5;43;2
20131;308001001633;308001001633;34;46;36,5;39;32,5;44,5;36,5;2
20131;176126000058;176126000058;48,28571429;50;45,85714286;48,71428571;46,14285714;44,14285714;44,42857143;7
20132;276377000388;276377000388;36,33333333;43,77777778;42,33333333;43;40;44,11111111;45,33333333;9
20131;376001030302;376001030302;60,38461538;50,76923077;48,15384615;49,07692308;52,23076923;49,15384615;67,23076923;13
20132;268020000492;268020000492;40,8;45,25;34,75;40,45;44,95;44;43,1;20
20131;154001004732;154001004732;38,5;40;35;44;47,5;45;43,5;2
20131;320001067685;320001067685;38;40,1;32,5;42,7;38,6;35,9;39,3;10
20132;225148001571;225148001571;42,05555556;40,77777778;37,88888889;40,11111111;42;39,33333333;39,77777778;18
20132;317433000912;317433000912;37,6;40,33333333;36,66666667;41,2;41,2;38,06666667;37,46666667;15
20132;219100000433;219100000433;35,4;42,5;38,6;40,6;42,5;43,9;42,3;10
20132;170215000055;170215000055;43,25555556;42,36666667;38,28888889;42,06666667;43,98888889;42,78888889;40,14444444;90
20132;311001038163;311001038163;47,53333333;47,33333333;41,66666667;46,86666667;47,46666667;45,53333333;47,4;15
20132;305266000591;305266000591;60,0625;52,7375;48,5375;52,2875;55,8125;52,85;68,4875;80
20132;111850001380;111850001380;43,67961165;43,49514563;38,01941748;43,05825243;43,60194175;45,87378641;44,73786408;103
20132;205306000099;205306000099;40,88888889;44,22222222;31,44444444;46,66666667;39,55555556;39,55555556;39;9
20132;476520003791;476520003791;55;56;42;53;51;41;38;1
20132;105001005339;105001005339;42,5840708;42,68141593;40,83185841;43,69911504;42,17699115;41,6460177;43,0619469;113
20132;376001043480;376001043480;75;62;58;72;68;56;52;1
20132;120787009668;120787009668;39,36842105;40,9122807;37,19298246;39,87719298;40,87719298;41,80701754;39,57894737;57
20131;373001000196;373001000196;58,44444444;51,72222222;50,77777778;55,72222222;61,05555556;54,5;58,22222222;18
20132;305615001711;305615001711;44,62711864;42,11864407;39,05084746;43,98305085;42,30508475;43,33898305;43,69491525;59
20131;276248000363;276248000363;53;51;48,14285714;51,14285714;48,57142857;51;44,57142857;7
20131;376111000077;376111000077;40,57142857;38,5;37,71428571;40,92857143;42,14285714;39,85714286;36;14
20131;168686000166;168686000166;56;60;56;53;53,5;43;47;2
20132;166001003572;166001003572;42,23529412;45,11764706;39,52941176;44,11764706;46,52941176;43,44117647;42,14705882;34
20132;625286000041;625286000041;42,03125;42,78125;36,6875;42,265625;42,359375;40,890625;42,84375;64
20132;168001000088;168001000088;45,67045455;44,46590909;39,88636364;44,64772727;45,44318182;45,85227273;42,22727273;88
20131;311001106584;311001106584;41,23913043;43,80434783;38,43478261;43,34782609;42,43478261;41;41,60869565;46
20131;352356001421;352356001421;42,74358974;42,25641026;37,53846154;42,3974359;42,28205128;40,07692308;39;78
20132;308638000011;308638000011;31;40,5;12,5;39;41;34,5;32,5;2
20132;276233000481;276233000481;39,5;40,375;37,875;40,625;37,375;39,125;40,375;8
20132;163594000257;163594000257;43,10204082;42,08163265;37,44897959;42,36734694;46,2244898;46,2244898;41,89795918;49
20132;170001038241;170001038241;44,09;42,91;40,48;43,33;44,68;44,22;40,59;100
20131;344430001443;344430001443;52,3;48,16666667;48,06666667;50,66666667;53,23333333;47,46666667;65,83333333;30
20132;111001086720;111001086720;46,85135135;45,72972973;40,59459459;45,47297297;46,55405405;47,97297297;45,41891892;74
20132;305001007306;305001007306;52,25925926;53,18518519;47,88888889;52,62962963;54,33333333;50,03703704;61,37037037;27
20132;105631000050;105631000050;47,66666667;48,18181818;44,22727273;47,27272727;46,84848485;49,01515152;47,13636364;66
20132;183001002381;183001002381;38,95454545;44,77272727;38,31818182;45,36363636;45,40909091;40,63636364;40,09090909;22
20132;108001003751;108001002517;38;36,9;32,85;39,15;38,35;35,2;37,5;20
20132;370215060251;370215060251;39,42105263;38,94736842;36;39,10526316;38,78947368;37,05263158;36,89473684;19
20132;111001016250;111001016250;44,55555556;46,68518519;39,64814815;42,98148148;42,62962963;43,11111111;42,5;54
20132;311769002010;311769002010;58,23188406;53,91304348;48,56521739;53,20289855;55,8115942;53,17391304;59,66666667;69
20131;285225000462;285225000462;58;47;50;51;50;52;50;1
20132;173443000021;173443000021;49,31764706;52,15294118;44,94117647;50,69411765;53,21176471;49,98823529;47,71764706;85
20132;273873000615;273873000615;40,57142857;43,07142857;40,42857143;43,64285714;43,42857143;41,92857143;42,14285714;14
20132;376248000511;376248000511;52,5;50,5625;46,6875;50,3125;53,9375;53,1875;48,75;16
20132;125290002246;125290002246;43,58823529;44,33333333;38,69607843;43,91176471;44,51960784;44,1372549;42,35294118;102
20132;118001002776;118001002776;40,73333333;42,53333333;36,4;39;42,46666667;42,4;39,53333333;15
20132;305101000775;305101000775;39,42105263;41,07894737;37,18421053;41,05263158;40,86842105;39,65789474;38,31578947;38
20132;150006000322;150006000322;41,61111111;42,27777778;37,61111111;42,5;43,16666667;41,77777778;40,94444444;36
20132;170001000414;170001000414;42,91643454;44,45682451;39,50139276;44,91086351;44,32311978;45,2367688;42,27019499;359
20132;247720000011;247720000011;43,5;42;26,5;43;40;37,5;33;2
20132;285125001658;285125001658;40,66666667;38;30,66666667;41,66666667;38;35,33333333;42;3
20132;313473000251;313473000251;41,98809524;40,96428571;37,1547619;40,85714286;41,41666667;40,14285714;42,53571429;84
20131;319001003816;319001003816;38,08333333;42,91666667;37,66666667;43;44,25;41,33333333;41,66666667;12
20132;311001004897;311001004897;50,71014493;50,1884058;43,44927536;48,9057971;50,83333333;48,46376812;51;138
20131;315238001171;315238001171;49,5;45,16666667;40,16666667;47;43,16666667;42,16666667;47,66666667;6
