n;estrato;grado;prueba;NoHoja;establecimiento;enteTerr;municipio;sexo;sector;zona;zonaStab;nivel;disSenso;copietas;weight;score1;score2;score3;score4;score5
42;120391919;5;M;06242197;105001000353;03;05001;2;1;1;1;4;0;0;15;1,46;1,62;0,97;0,21;1,22
42;120391919;5;M;06242198;105001000353;03;05001;1;1;1;1;4;0;0;15;1,67;1,53;0,98;1,44;1,48
42;120391919;5;M;06242199;105001000353;03;05001;1;1;1;1;4;0;0;15;-0,07;-0,29;-0,35;-0,45;-0,54
42;120391919;5;M;06242200;105001000353;03;05001;1;1;1;1;4;0;0;15;0,26;-0,24;-0,29;0,19;0,31
42;120391919;5;M;06242203;105001000353;03;05001;2;1;1;1;4;0;0;15;-1,05;-1,00;-0,62;-1,16;-0,99
42;120391919;5;M;06242204;105001000353;03;05001;1;1;1;1;4;0;0;15;1,71;0,75;1,30;1,58;1,08
46;120391919;5;M;06242207;105001000353;03;05001;2;1;1;1;4;0;0;13;0,76;0,44;0,83;0,92;0,95
46;120391919;5;M;06242208;105001000353;03;05001;2;1;1;1;4;0;0;13;1,32;1,74;1,83;2,61;1,68
46;120391919;5;M;06242209;105001000353;03;05001;1;1;1;1;4;0;0;13;1,66;1,41;2,00;1,45;2,01
46;120391919;5;M;06242210;105001000353;03;05001;2;1;1;1;4;0;0;13;-0,50;-0,54;-0,33;-0,27;-0,19
46;120391919;5;M;06242212;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,96;-0,71;-0,97;-0,88;-1,23
46;120391919;5;M;06242213;105001000353;03;05001;2;1;1;1;4;0;0;13;1,18;1,29;1,71;0,36;0,72
46;120391919;5;M;06242216;105001000353;03;05001;1;1;1;1;4;0;0;13;2,35;2,31;1,98;2,29;2,60
46;120391919;5;M;06242217;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,02;-0,22;0,45;-0,34;-0,03
46;120391919;5;M;06242218;105001000353;03;05001;2;1;1;1;4;0;0;13;1,37;1,14;1,60;1,15;2,00
46;120391919;5;M;06242219;105001000353;03;05001;1;1;1;1;4;0;0;13;1,64;0,95;1,08;1,11;1,40
46;120391919;5;M;06242222;105001000353;03;05001;2;1;1;1;4;0;0;13;-0,73;-0,65;-0,60;-0,70;-0,32
46;120391919;5;M;06242223;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,08;-0,07;0,23;0,13;0,21
46;120391919;5;M;06242226;105001000353;03;05001;1;1;1;1;4;0;0;13;0,40;0,90;1,02;0,42;0,47
46;120391919;5;M;06242227;105001000353;03;05001;1;1;1;1;4;0;0;13;1,11;0,32;1,00;0,50;0,60
46;120391919;5;M;06242228;105001000353;03;05001;2;1;1;1;4;0;0;13;1,12;0,71;1,13;1,26;0,89
46;120391919;5;M;06242229;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,06;0,33;-0,02;0,12;0,03
46;120391919;5;M;06242231;105001000353;03;05001;2;1;1;1;4;0;0;13;1,26;1,70;1,57;1,40;1,64
46;120391919;5;M;06242232;105001000353;03;05001;2;1;1;1;4;0;0;13;-1,26;-0,28;-0,42;-0,55;0,06
46;120391919;5;M;06242235;105001000353;03;05001;2;1;1;1;4;0;0;13;-0,33;-0,56;-0,94;-0,38;-0,53
46;120391919;5;M;06242236;105001000353;03;05001;1;1;1;1;4;0;0;13;0,42;0,69;0,10;0,46;-0,15
46;120391919;5;M;06242237;105001000353;03;05001;2;1;1;1;4;0;0;13;0,86;0,47;1,13;1,56;1,22
46;120391919;5;M;06242238;105001000353;03;05001;1;1;1;1;4;0;0;13;0,86;0,51;0,60;0,64;0,55
46;120391919;5;M;06035018;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,32;-0,20;-0,34;-0,29;-0,34
46;120391919;5;M;06034992;105001000353;03;05001;2;1;1;1;4;0;0;13;0,13;0,02;-0,80;-0,38;-0,58
46;120391919;5;M;06242243;105001000353;03;05001;1;1;1;1;4;0;0;13;1,11;0,98;1,17;0,78;1,20
46;120391919;5;M;06242244;105001000353;03;05001;2;1;1;1;4;0;0;13;0,05;-0,14;-0,64;-0,64;-0,36
37;120391919;5;M;06138443;105001000353;03;05001;2;1;1;1;4;0;0;14;-1,62;-0,75;-1,55;-2,07;-1,54
37;120391919;5;M;06138431;105001000353;03;05001;2;1;1;1;4;0;0;14;1,33;1,12;0,91;1,00;0,90
37;120391919;5;M;06138446;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,57;-0,33;-0,02;-0,54;-1,19
37;120391919;5;M;06138429;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,97;-0,53;-0,85;-0,86;-1,48
37;120391919;5;M;06138434;105001000353;03;05001;2;1;1;1;4;0;0;14;1,00;-0,11;0,07;0,18;0,64
37;120391919;5;M;06138451;105001000353;03;05001;2;1;1;1;4;0;0;14;0,38;0,24;0,87;0,37;0,32
37;120391919;5;M;06138450;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,40;-0,83;-1,07;-0,75;-0,83
37;120391919;5;M;06138427;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,45;0,57;0,52;0,19;0,32
37;120391919;5;M;06138452;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,52;-0,80;0,04;-0,23;-0,47
37;120391919;5;M;06138441;105001000353;03;05001;2;1;1;1;4;0;0;14;0,51;-0,30;-0,10;-0,25;0,50
37;120391919;5;M;06138448;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,33;-0,49;-0,63;-0,50;-0,03
37;120391919;5;M;06138423;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,17;0,00;-0,27;0,17;-0,24
37;120391919;5;M;06138445;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,94;-0,96;-1,09;-1,43;-0,95
37;120391919;5;M;06138437;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,32;-0,26;0,17;-0,23;-0,12
37;120391919;5;M;06138426;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,93;-0,27;-0,62;-0,91;-0,89
37;120391919;5;M;06138430;105001000353;03;05001;2;1;1;1;4;0;0;14;0,14;-0,32;0,00;0,78;0,43
37;120391919;5;M;06138432;105001000353;03;05001;2;1;1;1;4;0;0;14;-1,20;-0,97;-1,20;-1,55;-1,02
37;120391919;5;M;06138428;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,70;-0,40;-0,52;-0,73;-0,46
37;120391919;5;M;06138439;105001000353;03;05001;2;1;1;1;4;0;0;14;-0,86;-0,61;-1,14;-1,18;-0,82
35;120391919;5;M;06105329;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,93;-1,19;-1,19;-0,93;-0,81
35;120391919;5;M;06105330;105001000353;03;05001;1;1;1;1;4;0;0;13;0,59;0,85;-0,36;0,13;-0,24
35;120391919;5;M;06105333;105001000353;03;05001;1;1;1;1;4;0;0;13;0,82;0,42;0,84;0,63;-0,05
35;120391919;5;M;06105334;105001000353;03;05001;2;1;1;1;4;0;0;13;0,21;-0,07;0,51;-0,50;-0,07
35;120391919;5;M;06105335;105001000353;03;05001;2;1;1;1;4;0;0;13;1,52;-0,34;0,75;0,94;1,07
35;120391919;5;M;06105336;105001000353;03;05001;1;1;1;1;4;0;0;13;0,40;0,61;0,36;0,58;1,15
35;120391919;5;M;06105338;105001000353;03;05001;2;1;1;1;4;0;0;13;-0,11;0,61;0,96;0,10;-0,10
35;120391919;5;M;06105339;105001000353;03;05001;2;1;1;1;4;0;0;13;0,22;-0,01;0,02;0,66;-0,41
35;120391919;5;M;06105342;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,54;-0,50;-0,64;0,04;-0,05
35;120391919;5;M;06105343;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,12;0,48;-0,33;0,13;0,06
35;120391919;5;M;06105344;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,85;-0,59;-1,11;-1,41;-1,28
35;120391919;5;M;06105345;105001000353;03;05001;2;1;1;1;4;0;0;13;0,46;1,06;0,42;0,96;1,10
35;120391919;5;M;06105348;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,75;-0,88;-0,17;-1,24;-0,68
35;120391919;5;M;06105349;105001000353;03;05001;1;1;1;1;4;0;0;13;0,49;1,03;0,74;0,25;-0,01
35;120391919;5;M;06105352;105001000353;03;05001;1;1;1;1;4;0;0;13;1,11;1,40;0,83;1,23;0,47
35;120391919;5;M;06105353;105001000353;03;05001;2;1;1;1;4;0;0;13;-0,28;0,23;0,52;0,38;0,39
35;120391919;5;M;06105354;105001000353;03;05001;2;1;1;1;4;0;0;13;0,46;1,60;1,15;1,36;1,10
35;120391919;5;M;06105355;105001000353;03;05001;1;1;1;1;4;0;0;13;1,11;0,88;1,25;0,55;0,66
35;120391919;5;M;06105357;105001000353;03;05001;1;1;1;1;4;0;0;13;-0,03;-0,06;-0,33;-0,36;-0,30
35;120391919;5;M;06105358;105001000353;03;05001;2;1;1;1;4;0;0;13;0,50;-0,27;0,55;0,21;0,20
36;120391919;5;M;06105360;105001000353;03;05001;1;1;1;1;4;0;0;11;0,09;0,30;0,05;0,00;-0,26
36;120391919;5;M;06105361;105001000353;03;05001;2;1;1;1;4;0;0;11;-1,03;-0,88;-0,80;-1,05;-0,81
36;120391919;5;M;06105362;105001000353;03;05001;1;1;1;1;4;0;0;11;0,95;2,57;2,01;2,09;2,04
36;120391919;5;M;06105365;105001000353;03;05001;1;1;1;1;4;0;0;11;-0,10;0,36;0,47;0,10;0,49
36;120391919;5;M;06105366;105001000353;03;05001;3;1;1;1;4;0;0;11;0,51;-0,35;0,39;0,40;-0,17
36;120391919;5;M;06105369;105001000353;03;05001;2;1;1;1;4;0;0;11;0,12;-0,39;0,26;-0,15;0,16
36;120391919;5;M;06105370;105001000353;03;05001;1;1;1;1;4;0;0;11;-1,07;-1,43;-0,83;-1,38;-1,37
36;120391919;5;M;06105371;105001000353;03;05001;1;1;1;1;4;0;0;11;-0,46;-0,35;-0,15;0,04;0,01
36;120391919;5;M;06105372;105001000353;03;05001;2;1;1;1;4;0;0;11;0,06;0,63;0,12;0,58;0,33
36;120391919;5;M;06105374;105001000353;03;05001;1;1;1;1;4;0;0;11;-0,30;-0,43;-0,32;-0,75;-0,46
36;120391919;5;M;06105375;105001000353;03;05001;1;1;1;1;4;0;0;11;1,72;0,87;1,40;1,52;1,07
36;120391919;5;M;06105378;105001000353;03;05001;1;1;1;1;4;0;0;11;-1,33;-1,17;-1,60;-0,75;-1,20
36;120391919;5;M;06105379;105001000353;03;05001;1;1;1;1;4;0;0;11;-0,73;-0,65;-0,88;-1,05;-0,68
36;120391919;5;M;06105380;105001000353;03;05001;1;1;1;1;4;0;0;11;1,25;1,88;1,24;2,38;1,61
36;120391919;5;M;06105381;105001000353;03;05001;2;1;1;1;4;0;0;11;0,68;0,40;0,73;0,57;0,37
36;120391919;5;M;06105384;105001000353;03;05001;1;1;1;1;4;0;0;11;1,01;0,38;0,82;0,76;1,26
36;120391919;5;M;06105385;105001000353;03;05001;2;1;1;1;4;0;0;11;-0,34;-0,69;-0,23;-0,13;0,10
36;120391919;5;M;06105388;105001000353;03;05001;2;1;1;1;4;0;0;11;0,50;0,01;0,72;0,21;0,36
36;120391919;5;M;06105389;105001000353;03;05001;2;1;1;1;4;0;0;11;0,18;0,44;0,62;0,62;0,90
36;120391919;5;M;06105390;105001000353;03;05001;2;1;1;1;4;0;0;11;0,50;0,55;0,25;0,99;1,15
36;120391919;5;M;06105391;105001000353;03;05001;1;1;1;1;4;0;0;11;-0,50;-0,66;-0,87;0,00;-0,15
36;120391919;5;M;06105393;105001000353;03;05001;1;1;1;1;4;0;0;11;-1,05;-0,34;-0,61;-0,11;-0,38
36;120391919;5;M;06105394;105001000353;03;05001;1;1;1;1;4;0;0;11;0,83;0,64;0,33;0,86;1,13
36;120391919;5;M;06083399;105001000353;03;05001;2;1;1;1;4;0;0;12;-0,58;-0,27;-0,58;-0,57;-0,41
36;120391919;5;M;06083400;105001000353;03;05001;2;1;1;1;4;0;0;12;-0,63;-0,87;-0,07;-0,57;-0,66
36;120391919;5;M;06083401;105001000353;03;05001;2;1;1;1;4;0;0;12;-0,07;-0,05;0,30;-0,20;-0,30
36;120391919;5;M;06083404;105001000353;03;05001;2;1;1;1;4;0;0;12;-0,34;-0,76;-0,82;-0,25;-1,26
36;120391919;5;M;06083405;105001000353;03;05001;2;1;1;1;4;0;0;12;0,45;0,36;0,40;0,35;0,39
36;120391919;5;M;06083408;105001000353;03;05001;2;1;1;1;4;0;0;12;-0,28;-0,68;-0,46;-0,08;-0,38
36;120391919;5;M;06083409;105001000353;03;05001;1;1;1;1;4;0;0;12;-0,68;-0,67;-0,33;-0,44;-0,41
36;120391919;5;M;06083410;105001000353;03;05001;2;1;1;1;4;0;0;12;-0,05;-0,62;-0,09;-0,06;-0,31
36;120391919;5;M;06083411;105001000353;03;05001;1;1;1;1;4;0;0;12;-0,51;-0,21;-0,29;-0,19;-0,40
36;120391919;5;M;06083413;105001000353;03;05001;2;1;1;1;4;0;0;12;-0,94;-0,96;-0,87;-0,91;-1,24
36;120391919;5;M;06083414;105001000353;03;05001;2;1;1;1;4;0;0;12;-1,54;-1,33;-1,56;-1,27;-1,33
36;120391919;5;M;06083417;105001000353;03;05001;1;1;1;1;4;0;0;12;0,00;-0,41;-0,33;-0,40;-0,09
36;120391919;5;M;06083418;105001000353;03;05001;1;1;1;1;4;0;0;12;-0,65;-0,41;-0,70;-0,76;-0,48
36;120391919;5;M;06083419;105001000353;03;05001;1;1;1;1;4;0;0;12;0,25;0,58;0,52;0,59;0,03
36;120391919;5;M;06083420;105001000353;03;05001;2;1;1;1;4;0;0;12;0,09;0,02;0,26;-0,08;-0,23
36;120391919;5;M;06083423;105001000353;03;05001;2;1;1;1;4;0;0;12;-1,11;-0,59;-1,01;-0,96;-0,82
36;120391919;5;M;06083424;105001000353;03;05001;1;1;1;1;4;0;0;12;1,02;1,04;0,26;0,72;0,75
36;120391919;5;M;06083427;105001000353;03;05001;1;1;1;1;4;0;0;12;0,34;0,77;1,09;0,66;0,40
